Construct Pair,Jaccard Similarity,Dice Coefficient
"('manifestation', 'none')",0.13414634146341464,0.23655913978494625
"('material', 'mediation')",0.5151515151515151,0.68
"('material', 'memberOf')",0.3111111111111111,0.4745762711864407
"('material', 'participation')",0.2222222222222222,0.36363636363636365
"('material', 'participational')",0.024390243902439025,0.047619047619047616
"('material', 'subCollectionOf')",0.05263157894736842,0.1
"('material', 'subQuantityOf')",0.05263157894736842,0.1
"('material', 'termination')",0.05128205128205128,0.0975609756097561
"('material', 'triggers')",0.11627906976744186,0.20833333333333334
"('material', 'other')",0.22916666666666666,0.3728813559322034
"('material', 'none')",0.3522727272727273,0.5210084033613446
"('mediation', 'memberOf')",0.31746031746031744,0.4819277108433735
"('mediation', 'participation')",0.2857142857142857,0.4444444444444444
"('mediation', 'participational')",0.047619047619047616,0.09090909090909091
"('mediation', 'subCollectionOf')",0.03225806451612903,0.0625
"('mediation', 'subQuantityOf')",0.03225806451612903,0.0625
"('mediation', 'termination')",0.031746031746031744,0.06153846153846154
"('mediation', 'triggers')",0.09090909090909091,0.16666666666666666
"('mediation', 'other')",0.23880597014925373,0.3855421686746988
"('mediation', 'none')",0.5888888888888889,0.7412587412587412
"('memberOf', 'participation')",0.2564102564102564,0.40816326530612246
"('memberOf', 'participational')",0.041666666666666664,0.08
"('memberOf', 'subCollectionOf')",0.09523809523809523,0.17391304347826086
"('memberOf', 'subQuantityOf')",0.09523809523809523,0.17391304347826086
"('memberOf', 'termination')",0.09090909090909091,0.16666666666666666
"('memberOf', 'triggers')",0.03333333333333333,0.06451612903225806
"('memberOf', 'other')",0.2,0.3333333333333333
"('memberOf', 'none')",0.2289156626506024,0.37254901960784315
"('participation', 'participational')",0.14285714285714285,0.25
"('participation', 'subCollectionOf')",0.07142857142857142,0.13333333333333333
"('participation', 'subQuantityOf')",0.07142857142857142,0.13333333333333333
"('participation', 'termination')",0.10714285714285714,0.1935483870967742
"('participation', 'triggers')",0.26666666666666666,0.42105263157894735
"('participation', 'other')",0.1951219512195122,0.32653061224489793
"('participation', 'none')",0.32926829268292684,0.4954128440366973
"('participational', 'subCollectionOf')",0.2,0.3333333333333333
"('participational', 'subQuantityOf')",0.2,0.3333333333333333
"('participational', 'termination')",0.16666666666666666,0.2857142857142857
"('participational', 'triggers')",0.07692307692307693,0.14285714285714285
"('participational', 'other')",0.0,0.0
"('participational', 'none')",0.04938271604938271,0.09411764705882353
"('subCollectionOf', 'subQuantityOf')",0.3333333333333333,0.5
"('subCollectionOf', 'termination')",0.0,0.0
"('subCollectionOf', 'triggers')",0.0,0.0
"('subCollectionOf', 'other')",0.0,0.0
"('subCollectionOf', 'none')",0.024691358024691357,0.04819277108433735
"('subQuantityOf', 'termination')",0.0,0.0
"('subQuantityOf', 'triggers')",0.0,0.0
"('subQuantityOf', 'other')",0.045454545454545456,0.08695652173913043
"('subQuantityOf', 'none')",0.024691358024691357,0.04819277108433735
"('termination', 'triggers')",0.08333333333333333,0.15384615384615385
"('termination', 'other')",0.0,0.0
"('termination', 'none')",0.037037037037037035,0.07142857142857142
"('triggers', 'other')",0.10714285714285714,0.1935483870967742
"('triggers', 'none')",0.12345679012345678,0.21978021978021978
"('other', 'none')",0.24390243902439024,0.39215686274509803
